Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
"manager, information systems","May 23, 2024",2024-06-23,"May 23, 2024",LanceSoft Inc,Toronto (ON),Salary not available,24-63122,https://job-openings.monster.ca/scrum-master-toronto-on-ca-lancesoft-inc/ffdb414b-38f4-47ba-aedd-fc15f4a1ce1b?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-63122,Not specified
information technology (IT) development manager,"June 05, 2024",2024-07-06,"June 05, 2024",Cyclone Manufacturing Inc,Mississauga (ON),Salary not available,274411121,https://job-openings.monster.ca/it-manager-mississauga-on-ca-cyclone-manufacturing-inc/274411121?mescoid=1100011001001&mstr_dist=true,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #274411121,Not specified
technical program manager - information technology (IT),"June 05, 2024",Not specified,"June 05, 2024",Hengam,Vancouver (BC),"Salary: $90,000.00 to $120,000.00 annually",9310661730,https://ca.indeed.com/viewjob?jk=0bef1da229901a2f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 90,000 to $ 120,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9310661730,Not specified
computer technology teacher - secondary school,"June 10, 2024",2024-07-09,"June 10, 2024",St. Clair Catholic District School Board,Sarnia (ON),Salary not available,13982733,https://www.jobillico.com/en/job-offer/st-clair-catholic-district-school-board/permanent-secondary-teacher-manufacturing-technology/13982733?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sarnia , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13982733,Not specified
information technology (IT) implementation manager,"June 03, 2024",2024-07-02,"June 03, 2024",Soucy,Drummondville (QC),Salary not available,13742262,https://www.jobillico.com/en/job-offer/soucy/directeur.trice-technologies-de-l-rsquo-information-et-am-eacute-lioration-continue/13742262?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drummondville , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13742262,Not specified
computer technology teacher - secondary school,"June 07, 2024",2024-07-06,"June 07, 2024",Bruce-Grey Catholic District School Board,Walkerton (ON),Salary not available,13966866,https://www.jobillico.com/en/job-offer/bruce-grey-catholic-district-school-board/2025-034-probationary-secondary-teacher-1.0-fte-shhs-manufacturing-technology-grades-9-12/13966866?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Walkerton , ON",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13966866,Not specified
information technology (IT) implementation manager,"June 07, 2024",2024-07-08,"June 07, 2024",Proviso Consulting,Toronto (ON),Salary not available,12083,https://job-openings.monster.ca/digital-analytics-implementation-specialist-toronto-on-ca-proviso-consulting/6a4749c4-8569-4d99-bee4-d17a21b58baf?mescoid=1500131001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #12083,Not specified
information technology (IT) implementation manager,"June 06, 2024",2024-07-07,"June 06, 2024",SysAid Technologies,Toronto (ON),Salary not available,MzNfMTMyNjY3XzI5MDcyN18xMDcxNTAy,https://job-openings.monster.ca/implementation-specialist-toronto-on-ca-sysaid-technologies/c1c1f7db-665a-48ab-910f-b693723e3f86?mescoid=1500131001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #MzNfMTMyNjY3XzI5MDcyN18xMDcxNTAy,Not specified
infrastructure architect - information technology (IT),"May 30, 2024",2024-07-06,"May 30, 2024",Michelin,Magog (QC),Salary not available,104180,https://emploisti.com/fr/offre/architecte-ti/104180?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Magog , QC",Not available,Not specified,Starts as soon as 2024-07-24,1 vacancy,JobsMedia.ca #104180,Not specified
"manager, information systems","May 14, 2024",2024-06-14,"May 14, 2024",LanceSoft Inc,Toronto (ON),Salary not available,24-54990,https://job-openings.monster.ca/junior-scrum-master-toronto-on-ca-lancesoft-inc/0cf72014-8b9f-4490-84b4-0b0d6d02afce?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-54990,Not specified
"manager, information systems","June 04, 2024",2024-07-05,"June 04, 2024",Sapsol Technologies Inc,Ottawa (ON),Salary not available,5695565B69,https://job-openings.monster.ca/sap-fico-consultant-ottawa-on-ca-sapsol-technologies-inc/37ab3c5d-87a0-4132-8f29-981d76ec9071?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5695565B69,Not specified
"manager, information systems","May 14, 2024",2024-06-14,"May 14, 2024",Georgia IT Inc.,Mississauga (ON),Salary not available,21-01313,https://job-openings.monster.ca/api-technical-project-manager-mississauga-on-ca-georgia-it-inc/8678401e-9b99-4486-9f88-12dbc3cef04b?mescoid=1500145001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #21-01313,Not specified
Computer and information systems managers,"June 11, 2024",2024-07-11,"June 11, 2024",Bell Canada,Moncton (NB),Salary not available,2075478,https://www.careerbeacon.com/en/job/2075478/bell-canada/senior-specialist-pre-sales-engineering/moncton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moncton , NB",Not available,Not available,Starts as soon as possible,Not specified,CareerBeacon #2075478,Not specified
