,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
33,receptionist,"May 28, 2024",Not specified,"May 28, 2024",Accelerated Back & Neck Rehab Centre,Winnipeg (MB),Salary:$16.00 to $24.00 hourly,9297922228,https://ca.indeed.com/viewjob?jk=b5dfb700662ca17d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 16.00 to $ 24.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9297922228,Not specified
34,dental receptionist,"June 09, 2024",Not specified,"June 09, 2024",NW DENTAL OFFICE,Calgary (AB),Salary:$21.00 to $25.00 hourly,9315198237,https://ca.indeed.com/viewjob?jk=643ee4da89336d50&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 21.00 to $ 25.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9315198237,Not specified
35,receptionist,"May 22, 2024",Not specified,"May 22, 2024",Curious Hair (Tuscany Location),Calgary (AB),Salary:$15.00 hourly,9290290600,https://ca.indeed.com/viewjob?jk=55d3fc233383b73e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 15.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9290290600,Not specified
36,receptionist,"June 05, 2024",Not specified,"June 05, 2024",St. Albert and Sturgeon Primary Care Network,St. Albert (AB),Salary:$18.00 hourly,9310403311,https://ca.indeed.com/viewjob?jk=df0477f17535cabd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Albert , AB",$ 18.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9310403311,Not specified
37,receptionist,"June 07, 2024",2024-07-08,"June 07, 2024",Markham Honda,Markham (ON),Salary not available,DPpXdkUZgMpx,https://job-openings.monster.ca/receptionist-pt-markham-on-ca-markham-honda/da1ab58e-3a43-406e-a4be-c9aac2f88838?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",Not available,Term or contract Part time,Starts as soon as possible,1 vacancy,Monster #DPpXdkUZgMpx,Not specified
38,receptionist,"May 31, 2024",Not specified,"May 31, 2024",Thomson in the Park Funeral Home,Winnipeg (MB),Salary:$16.00 hourly,9303285359,https://ca.indeed.com/viewjob?jk=ab6de431a6b32e2e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 16.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9303285359,Not specified
39,receptionist,"May 27, 2024",2024-06-27,"May 27, 2024",Optima Living,Victoria (BC),Salary not available,3MyH3Ns519,https://job-openings.monster.ca/receptionist-casual-victoria-bc-ca-optima-living/de450db9-bdad-4015-a93d-126902d320bc?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Casual employment,Starts as soon as possible,1 vacancy,Monster #3MyH3Ns519,Not specified
40,receptionist,"June 02, 2024",Not specified,"June 02, 2024",Woodbine Foot Clinic,Markham (ON),Salary:$16.55 to $19.00 hourly,9305136296,https://ca.indeed.com/viewjob?jk=94e271f1aa72926d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 16.55 to $ 19.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9305136296,Not specified
41,receptionist,"May 30, 2024",2024-06-26,"May 30, 2024",Wing's Food Products,Edmonton (AB),Salary not available,a29b1cd3,https://www.ziprecruiter.com/k/t/AAJt9uR4R1UztCAm5RXsu2MCnOh0T5KgwuL55wFC38WXsFrlKLHN1yNcbBQHr6um9jqnW9GwE1siWCSdILf9Gs_k873pS5UjyQC_lZ2BDj-0S2-kcOOrGhzbhTqRJQ40fOx6yAe5ZdSEXZ3pdocysvBo7MGHQ2yslHSSrb8wnlboDyAYt2iHueN1MGtHFG1QVwEsNrYgPPTktjdkTIyi4Y5Zx8rHpw01KerGgXAcIolMHIyeA_I0ibdVQOwJWLW4bgO_rl0ATfuGeBoeFdTXJUqV2J4NC7JbiSJJPg-S8RCnSxrsA3cbeZWF,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #a29b1cd3,Not specified
42,dental receptionist,"June 07, 2024",Not specified,"June 07, 2024",Gumtree Dental Care,Stittsville (ON),Salary:$20.00 to $30.00 hourly,9316868867,https://ca.indeed.com/viewjob?jk=d75e09291ce2be2d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stittsville , ON",$ 20.00 to $ 30.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9316868867,Not specified
