,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
32,administrative assistant,"May 29, 2024",2024-06-29,"May 29, 2024",The Corporation of The City of Victoria,Victoria (BC),Salary not available,48d36e378ab14cd19d205799c7efb02a,https://job-openings.monster.ca/administrative-assistant-–-business-community-relations-victoria-bc-ca-the-corporation-of-the-city-of-victoria/e1fb8cea-11da-4e4c-a0ec-fbe1387a77af?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #48d36e378ab14cd19d205799c7efb02a,Not specified
33,administrative assistant,"May 15, 2024",2024-06-14,"May 15, 2024",Halifax Regional Centre for Education (HRCE),Halifax (NS),Salary not available,2051960,https://www.careerbeacon.com/en/job/2051960/halifax-regional-centre-for-education-hrce/school-based-administrative-assistant/halifax?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2051960,Not specified
34,administrative assistant,"June 12, 2024",2024-07-11,"June 12, 2024",Rocky View Schools,Airdrie (AB),Salary not available,13999647,https://www.jobillico.com/en/job-offer/rocky-view-schools/administrative-assistant-iii-school-herons-crossing-school/13999647?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Airdrie , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13999647,Not specified
35,administrative assistant,"June 10, 2024",Not specified,"June 10, 2024",BC Wildlife Federation,Surrey (BC),Salary:$19.00 hourly,9316869843,https://ca.indeed.com/viewjob?jk=5921e4f81fd503e8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 19.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9316869843,Not specified
36,administrative assistant,"June 07, 2024",2024-07-08,"June 07, 2024",Back in Motion Rehab,Surrey (BC),Salary not available,bF1cX9GKhm,https://job-openings.monster.ca/administrative-assistant-part-time-permanent-m-f-9am-2pm-surrey-bc-ca-back-in-motion-rehab/8dbc6b9f-36f2-4f18-b2ed-9b47bd6c0a18?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,Monster #bF1cX9GKhm,Not specified
37,administrative assistant,"June 04, 2024",2024-07-05,"June 04, 2024",Saskatchewan Legal Aid Commission,Prince Albert (SK),Salary not available,241762286,https://job-openings.monster.ca/administrative-assistant-prince-albert-prince-albert-sk-ca-saskatchewan-legal-aid-commission/b9f7e0ac-c6c4-40b4-8ac9-70d209b92836?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince Albert , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #241762286,Not specified
38,administrative assistant,"May 24, 2024",2024-07-23,"May 24, 2024",Clearview Public Schools,Stettler (AB),Salary not available,2772989,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=033b683c-e881-4bd4-b20b-818697691aa5&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stettler , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2772989,Not specified
39,administrative assistant,"June 07, 2024",2024-07-07,"June 07, 2024",Aplin,Edmonton (AB),Salary not available,53232398,https://job-openings.monster.ca/administrative-assistant-public-affairs-edmonton-ab-ca-aplin/d073b87a-7137-4d50-93ef-fa07ce2c3116?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #53232398,Not specified
40,administrative assistant,"June 02, 2024",2024-07-03,"June 02, 2024",INNER CIRCLE AGENCY,Laval (QC),Salary not available,3686980,https://job-openings.monster.ca/real-estate-administrative-assistant-laval-qc-laval-qc-ca-inner-circle-agency/06200cdb-2fa0-4423-8ca2-9b4344da8c34?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Laval , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #3686980,Not specified
41,administrative assistant,"May 29, 2024",Not specified,"May 29, 2024",Dogs with Wings Assistance Dog Society,Edmonton (AB),Salary:$17.00 hourly,9299315874,https://ca.indeed.com/viewjob?jk=15519d1ad1d3d55a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",$ 17.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9299315874,Not specified
